S.no,Title,Authors,Year,Snippets,DOI,ArticleURL
284,Enhancement of angiogenesis by a 27 kDa lectin from perivitelline fluid of horseshoe crab embryos through upregulation of VEGF and its receptor.,"K L Surekha, Meenal Waghchoude, Surendra Ghaskadbi",2013,"Angiogenesis, the expansion of a capillary network, is implicated in several pathological conditions. Drug-based inhibition of angiogenesis is being explored as therapy. Conversely, therapeutic angiogenesis contributes to control conditions such as ischemia. Here we report pro-angiogenic activity of perivitelline fluid (PVF) from Indian horseshoe crab embryos and one of its purified fractions, a 27 kDa lectin, using the chick embryonic chorioallantoic membrane assay. Enhancement in number and diameter of blood vessels after treatment with PVF and lectin suggested their pro-angiogenic effect. Quantitative RT-PCR showed that this effect is mediated through modulation of expression of VEGF and VEGFR-2/kinase domain receptor genes.",10.1021/np3005198,
285,Silurian horseshoe crab illuminates the evolution of arthropod limbs.,"Derek E G Briggs, Derek J Siveter, David J Siveter, Mark D Sutton, Russell J Garwood, David Legg",2012,"The basic arrangement of limbs in euarthropods consists of a uniramous head appendage followed by a series of biramous appendages. The body is divided into functional units or tagmata which are usually distinguished by further differentiation of the limbs. The living horseshoe crabs are remnants of a much larger diversity of aquatic chelicerates. The limbs of the anterior and posterior divisions of the body of living horseshoe crabs differ in the loss of the outer and inner ramus, respectively, of an ancestral biramous limb. Here we report a new fossil horseshoe crab from the mid-Silurian Lagerstätte in Herefordshire, United Kingdom (approximately 425 Myr B.P.), a site that has yielded a remarkably preserved assemblage of soft-bodied fossils. The limbs of the new form can be homologized with those of living Limulus, but retain an ancestral biramous morphology. Remarkably, however, the two limb branches originate separately, providing fossil evidence to suggest that repression or loss of gene expression might have given rise to the appendage morphology of Limulus. Both branches of the prosomal limbs of this new fossil are robust and segmented in contrast to their morphology in Cambrian arthropods, revealing that a true biramous limb was once present in chelicerates as well as in the mandibulates.",10.1073/pnas.1205875109,
286,"Horseshoe crab, Tachypleus gigas (Müller, 1785) spawning population at Balok Beach, Kuantan, Pahang, Malaysia.","A N Tan, A Christianus, S Shakibazadeh, P Hajeb",2012,"Local and regional decline of Asian horseshoe crabs has spurred a study on its spawning population at Balok Beach, Kuantan, Pahang, Malaysia. This location was identified as spawning site due to the occurrence of horseshoe crab spawning pairs and nests. Size-frequency, length-weight relationships, sex ratio and epibiont infestation of Tachypleus gigas were studied. Instar stage was estimated based on prosomal width. Condition of the horseshoe crab carapace was reported. Visual search technique of horseshoe crab was conducted during high tide of new and full moons. Prosomal, opisthosomal and telson length and weight of each horseshoe crab were measured. Largest female was recorded with mean prosomal length and width of 154.4 and 246.9 mm, respectively. About 69.8% of the males belonged to size group of 151-200 mm and 53.3% of females were grouped into 201-250 mm. All individuals were of fourteenth to sixteenth instar stages. Sex ratio varied from 0.313 to 2.5 and attributed to commercial harvest and monsoon season. Sand sediment of study site showed 93% of fine sands with grain size ranged from 120 to 250 microm. Acorn and pedunculate barnacle, conical and flat slipper shells were found on the carapace of the specimens. Most males had damaged eyes and carapaces while females with broken telsons. Body damages of about 19.9% on the specimens were likely due to nearby fishing activities. Lack of satellite male indicated low spawning population. The finding of this study showed that the species is extremely threatened by human activities and coastal development.",10.3923/pjbs.2012.610.620,
287,Green algal infection of American horseshoe crab (Limulus polyphemus) exoskeletal structures.,"Hillary Braverman, Louis Leibovitz, Gregory A Lewbart",2012,"Degenerative lesions in the dorsum of the horseshoe crab (Limulus polyphemus) exoskeleton, eyes, arthrodial membrane, and base of the telson were documented in a population of wild caught laboratory animals. The disease can lead to loss of tissue structure and function, deformed shells, abnormal molting, loss of ocular structures, erosion of interskeletal membranes, and cardiac hemorrhage. Microscopy, histopathology, and in vitro culture confirmed the causative agent to be a green algae of the family Ulvaceae. Further research may explain how green algae overcome horseshoe crab innate immunity leading to external and internal damage.",10.1016/j.jip.2012.06.002,
288,Microbe-specific C3b deposition in the horseshoe crab complement system in a C2/factor B-dependent or -independent manner.,"Keisuke Tagawa, Toyoki Yoshihara, Toshio Shibata, Kazuki Kitazaki, Yuichi Endo, Teizo Fujita, Takumi Koshiba, Shun-ichiro Kawabata",2012,"Complement C3 plays an essential role in the opsonization of pathogens in the mammalian complement system, whereas the molecular mechanism underlying C3 activation in invertebrates remains unknown. To understand the molecular mechanism of C3b deposition on microbes, we characterized two types of C2/factor B homologs (designated TtC2/Bf-1 and TtC2/Bf-2) identified from the horseshoe crab Tachypleus tridentatus. Although the domain architectures of TtC2/Bf-1 and TtC2/Bf-2 were identical to those of mammalian homologs, they contained five-repeated and seven-repeated complement control protein domains at their N-terminal regions, respectively. TtC2/Bf-1 and TtC2/Bf-2 were synthesized and glycosylated in hemocytes and secreted to hemolymph plasma, which existed in a complex with C3 (TtC3), and their activation by microbes was absolutely Mg(2+)-dependent. Flow cytometric analysis revealed that TtC3b deposition was Mg(2+)-dependent on Gram-positive bacteria or fungi, but not on Gram-negative bacteria. Moreover, this analysis demonstrated that Ca(2+)-dependent lectins (C-reactive protein-1 and tachylectin-5A) were required for TtC3b deposition on Gram-positive bacteria, and that a Ca(2+)-independent lectin (Tachypleus plasma lectin-1) was definitely indispensable for TtC3b deposition on fungi. In contrast, a horseshoe crab lipopolysaccharide-sensitive protease factor C was necessary and sufficient to deposit TtC3b on Gram-negative bacteria. We conclude that plasma lectins and factor C play key roles in microbe-specific TtC3b deposition in a C2/factor B-dependent or -independent manner.",10.1371/journal.pone.0036783,
289,"Ultrastructure of book gill development in embryos and first instars of the horseshoe crab Limulus polyphemus L. (Chelicerata, Xiphosura).",Roger D Farley,2012,"The transmission electron microscope (TEM) is used for the first time to study the development of book gills in the horseshoe crab. Near the end of the nineteenth century the hypothesis was presented for homology and a common ancestry for horseshoe crab book gills and arachnid book lungs. The present developmental study and the author's recent ones of book gills (SEM) and scorpion book lungs (TEM) are intended to clarify early histological work and provide new ultrastructural details for further research and for hypotheses about evolutionary history and relationships. The observations herein are in agreement with earlier reports that the book gill lamellae are formed by proliferation and evagination of epithelial cells posterior to opisthosomal branchial appendages. A cartilage-like endoskeleton is produced in the base of the opisthosomal appendages. The lamellar precursor cells in the appendage base proliferate, migrate outward and secrete the lamellar cuticle from their apical surface. A series of external, posteriorly-directed lamellae is formed, with each lamella having a central channel for hemolymph and pillar-type space holders formed from cells of the opposed walls. This repeated, page-like pattern results also in water channels (without space holders) between the sac-like hemolymph lamellae. The developmental observations herein and in an earlier study (TEM) of scorpion book lungs show that the lamellae in book gills and book lungs result from some similar activities and features of the precursor epithelial cells: proliferation, migration, alignment and apical/basal polarity with secretion of cuticle from the apical surface and the basal surface in contact with hemolymph. These cellular similarities and the resulting book-like structure suggest a common ancestry, but there are also substantial developmental differences in producing these organs for gas exchange in the different environments, aqueous and terrestrial. For scorpion book lungs, the invaginated precursor cells align in rows and secrete rows of cell fragments that are the basis for the internal, anterior-directed air sacs. The hemolymph sacs of book gills are formed by epithelial evagination or outfolding from the posterior surface of the branchial appendages.",10.1186/1742-9994-9-4,
290,Isolation by the 5' anchored PCR technique and characterization of eighteen microsatellite loci in horseshoe crab (Tachypleus gigas).,"Liew Pui Ling, Abu Bakar Adibah, Soon Guan Tan, Annie Christianus, Qamaruz Zaman Faridah",2011,,,
291,"Development of single-locus DNA microsatellite markers using 5'anchored ISSR-PCR method for the mangrove horseshoe crab, Carcinoscorpius rotundicauda (Latreille, 1802) in Peninsular Malaysia.","A B Adibah, L Pui Ling, S G Tan, Q Z Faridah, A Christianus",2012,"Horseshoe crabs are said to be declining worldwide. However, there is still no published report on the status of horseshoe crabs in Malaysia. Thus, we report here eight informative microsatellite markers that were developed using the 5'-anchored ISSR-PCR enrichment procedure to diagnose the population genetic structure of the mangrove horseshoe crab, Carcinoscorpius rotundicauda from Peninsular Malaysia. This set of markers was tested on 127 samples and showed polymorphism in this species. Hence they should be useful in future essential population genetic studies of these living fossils in the Southeast Asian region.",10.1007/s11033-011-1159-6,
292,Structural basis for dual-inhibition mechanism of a non-classical Kazal-type serine protease inhibitor from horseshoe crab in complex with subtilisin.,"Rajesh T Shenoy, Saravanan Thangamani, Adrian Velazquez-Campoy, Bow Ho, Jeak Ling Ding, J Sivaraman",2011,"Serine proteases play a crucial role in host-pathogen interactions. In the innate immune system of invertebrates, multi-domain protease inhibitors are important for the regulation of host-pathogen interactions and antimicrobial activities. Serine protease inhibitors, 9.3-kDa CrSPI isoforms 1 and 2, have been identified from the hepatopancreas of the horseshoe crab, Carcinoscorpius rotundicauda. The CrSPIs were biochemically active, especially CrSPI-1, which potently inhibited subtilisin (Ki = 1.43 nM). CrSPI has been grouped with the non-classical Kazal-type inhibitors due to its unusual cysteine distribution. Here we report the crystal structure of CrSPI-1 in complex with subtilisin at 2.6 Å resolution and the results of biophysical interaction studies. The CrSPI-1 molecule has two domains arranged in an extended conformation. These two domains act as heads that independently interact with two separate subtilisin molecules, resulting in the inhibition of subtilisin activity at a ratio of 1:2 (inhibitor to protease). Each subtilisin molecule interacts with the reactive site loop from each domain of CrSPI-1 through a standard canonical binding mode and forms a single ternary complex. In addition, we propose the substrate preferences of each domain of CrSPI-1. Domain 2 is specific towards the bacterial protease subtilisin, while domain 1 is likely to interact with the host protease, Furin. Elucidation of the structure of the CrSPI-1: subtilisin (1∶2) ternary complex increases our understanding of host-pathogen interactions in the innate immune system at the molecular level and provides new strategies for immunomodulation.",10.1371/journal.pone.0018838,
293,Application of cell-free hemolymph of horseshoe crab in antimicrobial drug screening.,"Ruijuan Du, Bow Ho, Jeak Ling Ding",2011,"Horseshoe crabs are an ancient invertebrate which possesses powerful innate immune defense against microbes. The simplicity, specificity and rapidity of its antimicrobial response have accorded the horseshoe crab as an excellent animal model from which immune responsive tissues may be procured for biomedical research. Such usefulness is exemplified by the extensive application for nearly four decades, of the limulus amebocyte lysate (LAL) for sensitive detection of endotoxin in the medical industry. Apart from the amebocytes, the cell-free hemolymph (CFH) of this arthropod offers a large repertoire of evolutionarily conserved proteins, which are highly sensitive to pathogens. This makes the hemolymph an ideal physiological microenvironment for simulating an in vitro infection. We therefore propose to employ the CFH as a quick and convenient tool for antimicrobial drug screening in vitro. This specific drug screening system also provides further optimization of drug design, and selection of drugs with antioxidant properties. Being an easily accessible natural resource, and allowing high-throughput screening with uniform and reliable data output, the horseshoe crab CFH provides a desirable physiological milieu for drug screening and development.",10.2174/138161211795703717,
294,Coincident ruddy turnstone migration and horseshoe crab spawning creates an ecological 'hot spot' for influenza viruses.,"Scott Krauss, David E Stallknecht, Nicholas J Negovetich, Lawrence J Niles, Richard J Webby, Robert G Webster",2010,"Since 1985, avian influenza virus surveillance has been conducted annually from mid-May to early June in charadriiform species from the families Scolopacidae and Laridae (shorebirds and gulls) at Delaware Bay in the northeast United States. The mass migrations of shorebirds, gulls and horseshoe crabs (Limulus polyphemus) coincide at that time, and large numbers of migrating birds pause at Delaware Bay to feed on horseshoe crab eggs deposited at the high-tide line. Influenza viruses are consistently isolated from charadriiform birds at Delaware Bay, at an overall rate approximately 17 times the combined rate of isolation at all other surveillance sites worldwide (490 isolates/9474 samples, 5.2% versus 49 isolates per 15,848 samples, 0.3%, respectively; Proportion test, p < 0.0001). The likelihood of isolating influenza viruses at Delaware Bay is dependent on the presence of ruddy turnstone (Arenaria interpres) at the sampling site (G-test of independence, p < 0.001). The convergence of host factors and environmental factors results in a unique ecological 'hot spot' for influenza viruses in Charadriiformes.",10.1098/rspb.2010.1090,
295,The effects of short- and long-term hypoxia on hemolymph gas values in the American horseshoe crab (Limulus polyphemus) using a point-of-care analyzer.,"Matthew C Allender, Juergen Schumacher, Robert George, Jennifer Milam, Agricola Odoi",2010,"Hemolymph gas parameters were evaluated using a point-of-care analyzer in healthy American horseshoe crabs (Limulus polyphemus) at rest and after short- and long-term removal from water. Baseline vascular pH, partial pressure of oxygen (PO2), partial pressure of carbon dioxide, bicarbonate, base excess, total carbon dioxide, and lactate concentrations were determined from hemolymph samples collected from 10 horseshoe crabs (group 1) submerged in water and were compared with values after removal from water for 5 min, and after recovery in water for 10 min and for longer than 60 min (range, 61-221 min). Hemolymph gas parameters were also determined in 12 horseshoe crabs (group 2) after shipment out of water for 24 hr and were compared with values obtained from group 1 animals. Baseline hemolymph gas values of the American horseshoe crab are within range for other aquatic vertebrates. After removal from water for 5 min, all group 1 crabs developed severe hypoxia, with PO2 levels falling below the detectable limit of the analyzer. Group 2 crabs had pronounced respiratory acidosis, and their PO2 values were significantly below baseline values of group 1 animals.",10.1638/2008-0175R2.1,
296,"Book gill development in embryos and first and second instars of the horseshoe crab Limulus polyphemus L. (Chelicerata, Xiphosura).",Roger D Farley,2010,"The scanning electron microscope (SEM) was used to study the development of the opisthosomal appendages and book gills of the horseshoe crab, Limulus polyphemus. Later embryonic stages were examined as well as the first and second instars. The observations are compared with a much earlier light microscopic description of book gill development in the horseshoe crab and with book lung development in scorpion embryos and first and second instars in a recent study with SEM. After the third embryonic molt in the horseshoe crab, the opisthosomal appendages are of sufficient size so they could be fractured or dissected open so internal cells and other structures could be examined. The opisthosomal appendages and book gill lamellae of first and second instars were also opened. The observations support the earlier histological report that the gill lamellae are a hypodermal outgrowth from the posterior surface of the preceding branchial appendages. The genital operculum, branchial appendages and gill lamellae are very thin and consist of external cuticle, hypodermis and space holders. The latter help hold the cuticle walls in place so hemolymph can flow through the narrow channels. The space holders are formed from cell processes that extend into the lumen from the hypodermis just inside the external cuticle. In the recent SEM study in scorpion embryos and in some histological investigations in spider embryos, the book lung lamellae are formed by alignment of cells from an invaginated sac or mass of cells. This clearly differs from the mode of formation of gill lamellae as observed in this and earlier investigations. These reports of differences in embryology refine but do not preclude hypotheses about book gill/book lung homology since addition, deletion or modification of ancestral features often occur for the benefit of the embryos and larvae.",10.1016/j.asd.2010.04.001,
297,"Factor G utilizes a carbohydrate-binding cleft that is conserved between horseshoe crab and bacteria for the recognition of beta-1,3-D-glucans.","Yuki Ueda, Shuhei Ohwada, Yoshito Abe, Toshio Shibata, Manabu Iijima, Yukiko Yoshimitsu, Takumi Koshiba, Munehiro Nakata, Tadashi Ueda, Shun-ichiro Kawabata",2009,"In the horseshoe crab, the recognition of beta-1,3-D-glucans by factor G triggers hemolymph coagulation. Factor G contains a domain of two tandem xylanase Z-like modules (Z1-Z2), each of which recognizes beta-1,3-D-glucans. To gain an insight into the recognition of beta-1,3-D-glucans from a structural view point, recombinants of Z1-Z2, the C-terminal module Z2, Z2 with a Cys to Ala substitution (Z2A), and its tandem repeat Z2A-Z2A were characterized. Z2 and Z1-Z2, but not Z2A and Z2A-Z2A, formed insoluble aggregates at higher concentrations more than approximately 30 and 3 microM, respectively. Z1-Z2 and Z2A-Z2A bound more strongly to an insoluble beta-1,3-D-glucan (curdlan) than Z2A. The affinity of Z2A for a soluble beta-1,3-D-glucan (laminarin) was equivalent to those of Z1-Z2, Z2A-Z2A, and native factor G, suggesting that the binding of a single xylanase Z-like module prevents the subsequent binding of another module to laminarin. Interestingly, Z2A as well as intact factor G exhibited fungal agglutinating activity, and fungi were specifically detected with fluorescently tagged Z2A by microscopy. The chemical shift perturbation of Z2A induced by the interaction with laminaripentaose was analyzed by nuclear magnetic resonance spectroscopy. The ligand-binding site of Z2A was located in a cleft on a beta-sheet in a predicted beta-sandwich structure, which was superimposed onto cleft B in a cellulose-binding module of endoglucanase 5A from the soil bacterium Cellvibrio mixtus. We conclude that the pattern recognition for beta-1,3-D-glucans by factor G is accomplished via a carbohydrate-binding cleft that is evolutionally conserved between horseshoe crab and bacteria.",10.4049/jimmunol.0900430,
298,"Using the horseshoe crab, Limulus Polyphemus, in vision research.","Jiahui S Liu, Christopher L Passaglia",2009,"The American horseshoe crab, Limulus Polyphemus is one of the oldest creatures on earth, and the animal continues to play an indispensable role in biomedical research. Not only does their blood contain special cells that scientists use to detect bacteriotoxins in our medicines, but their eyes also contain a neural network that has provided much insight about physiological processes operating in our visual system, such as light adaptation and lateral inhibition. The horseshoe crab remains an attractive model for vision research because the animal is large and hardy for an invertebrate, its retinal neurons are big and easily accessible, its visual system is compact and extensively studied, and its visual behavior is well defined. Moreover, the structure and function of the eyes are modulated on a daily basis by a circadian clock in the animal s brain. In short, the visual system of horseshoe crabs is simple enough to be understood yet complex enough to be interesting. In this video we present three electrophysiological paradigms for investigating the neural basis of vision that can be performed in vivo with Limulus. They are electroretinogram recording, optic nerve recording, and intraretinal recording. Electroretinogram (ERG) recordings measure with a surface electrode the summed electrical response of all cells in the eye to a flash of light. They can be used to monitor the overall sensitivity of the eye for prolong periods of time. Optic nerve recordings measure the spiking activity of single nerve fibers with an extracellular microsuction electrode. They can be used to study visual messages conveyed from the eye to the brain as well as circadian-clock messages fed back from the brain to the eye. Intraretinal recordings measure with an intracellular microelectrode the voltage fluctuations induced by light in individual cells of the eye. They can be used to elucidate cellular mechanisms of retinal processing.",10.3791/1384,
299,"Blood collection from the American horseshoe crab, Limulus polyphemus.","Peter Armstrong, Mara Conrad",2008,"The horseshoe crab has the best-characterized immune system of any long-lived invertebrate. The study of immunity in horseshoe crabs has been facilitated by the ease in collecting large volumes of blood and from the simplicity of the blood. Horseshoe crabs show only a single cell type in the general circulation, the granular amebocyte. The plasma has the salt content of sea water and only three abundant proteins, hemocyanin, the respiratory protein, the C-reactive proteins, which function in the cytolytic destruction of foreign cells, including bacterial cells, and alpha2-macroglobulin, which inhibits the proteases of invading pathogens. Blood is collected by direct cardiac puncture under conditions that minimize contamination by lipopolysaccharide (a.k.a., endotoxin, LPS), a product of the Gram-negative bacteria. A large animal can yield 200 - 400 mL of blood. For the study of the plasma, blood cells are immediately removed from the plasma by centrifugation and the plasma can then be fractionated into its constituent proteins. The blood cells are conveniently studied microscopically by collecting small volumes of blood into LPS-free isotonic saline (0.5 M NaCl) under conditions that permit direct microscopic examination by placing one of more LPS-free coverglasses on the culture dish surface, then mounting those coverglasses in simple observation chambers following cell attachment. A second preparation for direct observation is to collect 3 - 5 mL of blood in a LPS-free embryo dish and then explanting fragments of aggregated amebocytes to a chamber that sandwiches the tissue between a slide and a coverglass. In this preparation, the motile amebocytes migrate onto the coverglass surface, where they can readily be observed. The blood clotting system involves aggregation of amebocytes and the formation of an extracellular clot of a protein, coagulin, which is released from the secretory granules of the blood cells. Biochemical analysis of washed blood cells requires that aggregation and degranulation does not occur, which can be accomplished by collecting blood into 0.1 volumes of 2% Tween-20, 0.5 M LPS-free NaCl, followed by centrifugation of the cells and washing with 0.5 M NaCl.",10.3791/958,
300,Factor C acts as a lipopolysaccharide-responsive C3 convertase in horseshoe crab complement activation.,"Shigeru Ariki, Shusaku Takahara, Toshio Shibata, Takaaki Fukuoka, Aya Ozaki, Yuichi Endo, Teizo Fujita, Takumi Koshiba, Shun-ichiro Kawabata",2008,"The complement system in vertebrates plays an important role in host defense against and clearance of invading microbes, in which complement component C3 plays an essential role in the opsonization of pathogens, whereas the molecular mechanism underlying C3 activation in invertebrates remains unknown. In an effort to understand the molecular activation mechanism of invertebrate C3, we isolated and characterized an ortholog of C3 (designated TtC3) from the horseshoe crab Tachypleus tridentatus. Flow cytometric analysis using an Ab against TtC3 revealed that the horseshoe crab complement system opsonizes both Gram-negative and Gram-positive bacteria. Evaluation of the ability of various pathogen-associated molecular patterns to promote the proteolytic conversion of TtC3 to TtC3b in hemocyanin-depleted plasma indicated that LPS, but not zymosan, peptidoglycan, or laminarin, strongly induces this conversion, highlighting the selective response of the complement system to LPS stimulation. Although originally characterized as an LPS-sensitive initiator of hemolymph coagulation stored within hemocytes, we identified factor C in hemolymph plasma. An anti-factor C Ab inhibited various LPS-induced phenomena, including plasma amidase activity, the proteolytic activation of TtC3, and the deposition of TtC3b on the surface of Gram-negative bacteria. Moreover, activated factor C present on the surface of Gram-negative bacteria directly catalyzed the proteolytic conversion of the purified TtC3, thereby promoting TtC3b deposition. We conclude that factor C acts as an LPS-responsive C3 convertase on the surface of invading Gram-negative bacteria in the initial phase of horseshoe crab complement activation.",10.4049/jimmunol.181.11.7994,
301,News from an ancient world: two novel astacin metalloproteases from the horseshoe crab.,"Christoph Becker-Pauly, Bernd Cem Bruns, Olga Damm, André Schütte, Kada Hammouti, Thorsten Burmester, Walter Stöcker",2009,"In this work, we report the cloning, heterologous expression, and characterization of two novel astacin proteases from the chelicerate Limulus polyphemus (horseshoe crab), designated as LAST (Limulus astacin) and LAST_MAM (Limulus astacin containing a MAM domain), respectively. The expression pattern showed ubiquitous occurrence of LAST_MAM, while LAST was predominantly restricted to the eyes and brain, indicating a function in the nervous system. Both enzymes contain the characteristic metzincin-type zinc-binding region and Met turn. While LAST is made up only of the typical prodomain and astacin-like protease domain, LAST_MAM contains an additional MAM (meprin A5 protein tyrosine phosphatase micro) domain, which so far only has been found in few astacins such as the vertebrate meprin Hydra and squid enzymes, and in a number of other extracellular proteins such as A5 protein and tyrosine phosphatase micro. These gave rise to the designation MAM for this protein module. MAM domains have been shown to be responsible for protein oligomerization in meprin proteases and tyrosine phosphatase micro. Since the horseshoe crab has kept its body plan for almost half a billion years, it is therefore a privileged organism for the study of protease evolution. In this context, we could show by phylogenetic analysis that this protease is not related to the other MAM-domain-containing astacins indicating different evolutionary origins of these proteins. Moreover, we clearly demonstrated the divergent evolvement of the MAM module itself, and not only with regard to proteases. However, there are some unique functional features that are not shared by other members of this protein family. For example, LAST_MAM is the only astacin protease known so far that is active in its zymogen form, indicating that the presence of the N-terminal propeptide does not prevent proteolytic activity.",10.1016/j.jmb.2008.10.062,
302,Enhancement of vertebrate cardiogenesis by a lectin from perivitelline fluid of horseshoe crab embryo.,"S Ghaskadbi, V Patwardhan, M Chakraborthy, S Agrawal, M K Verma, A Chatterjee, N Lenka, P B Parab",2008,"Cardiac myocytes are the first cells to differentiate during the development of a vertebrate embryo. A wide variety of molecules take part in various steps in this process. While exploring biologically active molecules from marine sources, we found that a constituent of perivitelline fluid from embryos of the Indian horseshoe crab can enhance growth and differentiation of chick embryonic heart. We have purified the factor and identified the cardiac promoting molecule to be a novel lectin. We show that this molecule influences cardiac development by increasing the number of cells constituting the heart and by modulating the expression of several cardiac development regulatory genes in chick embryos. Using mouse embryonic stem cells we show that the cardiac myocyte-enhancing capacity of this molecule extends to mammals and its effects can be blocked using methylated sugars. This molecule may prove to be an important tool in the study of cardiomyocyte differentiation.",10.1007/s00018-008-8246-4,
303,"Rhythms of locomotion expressed by Limulus polyphemus, the American horseshoe crab: II. Relationship to circadian rhythms of visual sensitivity.","Winsor H Watson, Lisa Bedford, Christopher C Chabot",2008,"In the laboratory, horseshoe crabs express a circadian rhythm of visual sensitivity as well as daily and circatidal rhythms of locomotion. The major goal of this investigation was to determine whether the circadian clock underlying changes in visual sensitivity also modulates locomotion. To address this question, we developed a method for simultaneously recording changes in visual sensitivity and locomotion. Although every animal (24) expressed consistent circadian rhythms of visual sensitivity, rhythms of locomotion were more variable: 44% expressed a tidal rhythm, 28% were most active at night, and the rest lacked statistically significant rhythms. When exposed to artificial tides, 8 of 16 animals expressed circatidal rhythms of locomotion that continued after tidal cycles were stopped. However, rhythms of visual sensitivity remained stable and showed no tendency to be influenced by the imposed tides or locomotor activity. These results indicate that horseshoe crabs possess at least two biological clocks: one circadian clock primarily used for modulating visual sensitivity, and one or more clocks that control patterns of locomotion. This arrangement allows horseshoe crabs to see quite well while mating during both daytime and nighttime high tides.",10.2307/25470682,
304,"Rhythms of locomotion expressed by Limulus polyphemus, the American horseshoe crab: I. Synchronization by artificial tides.","Christopher C Chabot, Stephen J Skinner, Winsor H Watson",2008,"Limulus polyphemus, the American horseshoe crab, has an endogenous clock that drives circatidal rhythms of locomotor activity. In this study, we examined the ability of artificial tides to entrain the locomotor rhythms of Limulus in the laboratory. In experiments one and two, the activity of 16 individuals of L. polyphemus was monitored with activity boxes and ""running wheels."" When the crabs were exposed to artificial tides created by changes in water depth, circatidal rhythms were observed in animals exposed to 12.4-h ""tidal"" cycles of either water depth changes (8 of 8 animals) or inundation (7 of 8 animals). In experiment three, an additional 8 animals were exposed to water depth changes under cyclic conditions of light and dark and then monitored for 10 days with no imposed artificial tides. Most animals (5) clearly synchronized their activity to the imposed artificial tidal cycles, and 3 of these animals showed clear evidence of entrainment after the artificial tides were terminated. Overall, these results demonstrate that the endogenous tidal clock that influences locomotion in Limulus can be entrained by imposed artificial tides. In the laboratory, these tidal cues override the influence of light/dark cycles. In their natural habitat, where both tidal and photoperiod inputs are typically always present, their activity rhythms are likely to be much more complex.",10.2307/25470681,
305,"Isolation and expression of Pax6 and atonal homologues in the American horseshoe crab, Limulus polyphemus.","David C Blackburn, Kevin W Conley, David C Plachetzki, Karen Kempler, Barbara-Anne Battelle, Nadean L Brown",2008,"Pax6 regulates eye development in many animals. In addition, Pax6 activates atonal transcription factors in both invertebrate and vertebrate eyes. Here, we investigate the roles of Pax6 and atonal during embryonic development of Limulus polyphemus rudimentary lateral, medial and ventral eyes, and the initiation of lateral ommatidial eye and medial ocelli formation. Limulus eye development is of particular interest because these animals hold a unique position in arthropod phylogeny and possess multiple eye types. Furthermore, the molecular underpinnings of eye development have yet to be investigated in chelicerates. We characterized a Limulus Pax6 gene, with multiple splice products and predicted protein isoforms, and one atonal homologue. Unexpectedly, neither gene is expressed in the developing eye types examined, although both genes are present in the lateral sense organ, a structure of unknown function.",10.1002/dvdy.21634,
306,"Tetrodotoxin poisoning following ingestion of the toxic eggs of the horseshoe crab Carcinoscorpius rotundicauda, a case series from 1994 through 2006.",Jirasak Kanchanapongkul,2008,"Between 1994 and 2006, a total of 280 cases of varying degrees of tetrodotoxin poisoning following ingestion of the toxic eggs of the horseshoe crab, Carcinoscorpius rotundicauda, were admitted to the medical service of Chon Buri Hospital. The severity of the poisoning was classified into four stages based on clinical signs and symptoms of human tetrodotoxication. Of 245 available medical records; 100 were in stage 1, 74 were in stage 2, 3 were in stage 3 and 68 were in stage 4. The frequencies of symptoms and signs included the following : circumoral and lingual numbness (98%), hands and feet numbness (94.7%), weakness (59.6%), dizziness and vertigo (54.3%), nausea and vomiting (52.6%), transient hypertension (39.6%), respiratory paralysis (27.7%), fixed dilated pupils (14.7%), ophthalmoplegia (12.2%), blood pressure lower than 90/60 mmHg (5.7%), and polyuria (0.4%). All patients received symptomatic and supportive treatment. Endotracheal intubation and mechanical ventilation were considered when paralysis was progressing rapidly. The results of treatment are as follows: 239 patients (97.5%) showed complete recovery, 5 patients (2%) died, and 1 patient (0.4%) suffered anoxic brain damage. Horseshoe crab poisoning occurs both sporadically and epidemically in Chon Buri. Seasonal variation in the number of cases of poisoning was observed with a peak from December through March.",,
307,"Membrane pore formation by pentraxin proteins from Limulus, the American horseshoe crab.","John M Harrington, Hui-Ting Chou, Thomas Gutsmann, Christoph Gelhaus, Henning Stahlberg, Matthias Leippe, Peter B Armstrong",2008,"The pentraxins are a family of highly conserved plasma proteins of metazoans known to function in immune defence. The canonical members, C-reactive protein and serum amyloid P component, have been identified in arthropods and humans. Mammalian pentraxins are known to bind lipid bilayers, and a pentraxin representative from the American horseshoe crab, Limulus polyphemus, binds and permeabilizes mammalian erythrocytes. Both activities are Ca(2+)-dependent. Utilizing model liposomes and planar lipid bilayers, in the present study we have investigated the membrane-active properties of the three pentraxin representatives from Limulus and show that all of the Limulus pentraxins permeabilize lipid bilayers. Mechanistically, Limulus C-reactive protein forms transmembrane pores in asymmetric planar lipid bilayers that mimic the outer membrane of Gram-negative bacteria and exhibits a Ca(2+)-independent form of membrane binding that may be sufficient for pore formation.",10.1042/BJ20071357,
308,Pharmacokinetics of intravascular itraconazole in the American horseshoe crab (Limulus polyphemus).,"M C Allender, J Schumacher, J Milam, R George, S Cox, T Martín-Jiménez",2008,,10.1111/j.1365-2885.2007.00924.x,
